,date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,symbol,MA5,MA10,MA20,RSI,ATR,signal,position,stop_loss,trailing_stop,highest_price,atr_multiplier,position_size,returns,strategy_returns,cumulative_returns,strategy_cumulative_returns,portfolio_value,peak,drawdown
19,2023-09-21 00:00:00.000000,1.016,1.009,1.016,1.004,45390,4574129.071,1.17,-1.56,-0.016,0.22,159696,1.029,1.0291000000000001,1.02135,43.9655172413793,0.011857142857142868,0,0.0,,,,1.0,0.0,,,,,,,
20,2023-09-22 00:00:00.000000,0.997,0.996,0.997,0.981,43841,4359677.002,1.59,-1.29,-0.013,0.21,159696,1.0193999999999999,1.0264000000000002,1.0218,41.129032258064505,0.013428571428571432,0,0.0,,,,1.0,0.0,-0.012884043607532147,-0.0,0.9871159563924679,1.0,100000.0,100000.0,0.0
21,2023-09-25 00:00:00.000000,0.997,0.997,0.999,0.995,64632,6443109.595,0.4,0.1,0.001,0.31,159696,1.0117999999999998,1.0241,1.02175,39.66942148760329,0.01335714285714287,-1,0.0,,,,1.0,0.0,0.0010040160642570406,0.0,0.9881070366699704,1.0,100000.0,100000.0,0.0
22,2023-09-26 00:00:00.000000,0.999,0.992,1.0,0.991,44028,4378015.4,0.9,-0.5,-0.005,0.21,159696,1.0037999999999998,1.0197999999999998,1.0211999999999999,34.99999999999997,0.01342857142857144,-1,-1.0,,,,1.0,0.0,-0.005015045135406182,0.0,0.983151635282458,1.0,100000.0,100000.0,0.0
23,2023-09-27 00:00:00.000000,0.983,0.989,0.989,0.982,48633,4789786.874,0.71,-0.3,-0.003,0.23,159696,0.9966000000000002,1.0158,1.01965,39.252336448598115,0.012928571428571432,-1,-1.0,,,,1.0,0.0,-0.003024193548387122,0.0,0.9801783944499505,1.0,100000.0,100000.0,0.0
24,2023-09-28 00:00:00.000000,0.989,0.989,0.999,0.983,39210,3872972.7,1.62,0.0,0.0,0.19,159696,0.9926,1.0108,1.01785,32.291666666666714,0.012642857142857147,-1,-1.0,,,,1.0,0.0,0.0,-0.0,0.9801783944499505,1.0,100000.0,100000.0,0.0
25,2023-10-09 00:00:00.000000,0.992,1.003,1.004,0.992,39162,3918289.333,1.21,1.42,0.014,0.19,159696,0.9940000000000001,1.0067,1.01685,42.056074766355074,0.01321428571428571,0,-1.0,0.9897857142857142,,1.003,1.0,99700.89730807579,0.01415571284125372,-0.014113372723084468,0.9940535183349851,0.9858866272769156,98588.66272769155,100000.0,-0.014113372723084466
26,2023-10-10 00:00:00.000000,1.012,1.014,1.018,1.01,81594,8269063.56,0.8,1.1,0.011,0.39,159696,0.9974000000000001,1.0046000000000002,1.01665,39.805825242718505,0.013214285714285725,-1,0.0,,,,1.0,0.0,0.010967098703888567,0.0,1.0049554013875126,0.9858866272769156,98588.66272769155,100000.0,-0.014113372723084466
27,2023-10-11 00:00:00.000000,1.019,1.022,1.022,1.015,55580,5670641.786,0.69,0.79,0.008,0.27,159696,1.0033999999999998,1.0036,1.0166499999999998,46.66666666666672,0.012857142857142876,0,-1.0,1.0091428571428571,,1.022,1.0,97847.35812133072,0.007889546351084853,-0.0077197126722943765,1.0128840436075324,0.9782758657868804,97827.58657868805,100000.0,-0.021724134213119542
28,2023-10-12 00:00:00.000000,1.029,1.031,1.032,1.029,50796,5235783.194,0.29,0.88,0.009,0.24,159696,1.0118,1.0042,1.0168000000000001,46.15384615384615,0.012785714285714298,0,0.0,,1.0182142857142855,1.031,1.0,97847.35812133072,0.008806262230919737,0.0,1.0218037661050547,0.9782758657868804,97827.58657868805,100000.0,-0.021724134213119542
29,2023-10-13 00:00:00.000000,1.028,1.025,1.028,1.022,22702,2329682.804,0.58,-0.58,-0.006,0.11,159696,1.019,1.0058,1.01745,40.952380952380885,0.012714285714285718,0,0.0,,1.0182857142857142,1.031,1.0,97847.35812133072,-0.005819592628516057,-0.0,1.0158572844400398,0.9782758657868804,97827.58657868805,100000.0,-0.021724134213119542
30,2023-10-16 00:00:00.000000,1.02,1.019,1.02,1.015,11601,1179621.98,0.49,-0.59,-0.006,0.06,159696,1.0222,1.0081,1.01725,42.15686274509802,0.012071428571428566,0,0.0,,1.0189285714285714,1.031,1.0,97847.35812133072,-0.005853658536585371,-0.0,1.009910802775025,0.9782758657868804,97827.58657868805,100000.0,-0.021724134213119542
31,2023-10-17 00:00:00.000000,1.025,1.027,1.028,1.024,21125,2168332.521,0.39,0.79,0.008,0.1,159696,1.0248,1.0110999999999999,1.0176,47.66355140186911,0.012285714285714289,0,0.0,,1.0187142857142857,1.031,1.0,97847.35812133072,0.007850834151128527,0.0,1.0178394449950448,0.9782758657868804,97827.58657868805,100000.0,-0.021724134213119542
